34,retail,10,tienda-A,casa-A,2,2020-10-18 18:14:34
36,retail,110,tienda-C,casa-C,1,2020-10-18 18:14:34
38,retail,100,tienda-B,casa-Q,3,2020-10-18 18:14:34
39,retail,15,tienda-C,casa-A,1,2020-10-18 18:14:34
42,retail,20,tienda-A,casa-F,2,2020-10-18 18:14:34
43,retail,120,tienda-B,casa-U,1,2020-10-18 18:14:34
46,retail,6,tienda-C,casa-N,1,2020-10-18 18:14:34
47,retail,80,tienda-B,casa-A,1,2020-10-18 18:14:34
50,retail,30,tienda-A,casa-A,1,2020-10-18 18:14:34
51,retail,105,tienda-C,casa-C,1,2020-10-18 18:14:34
20,prioritario,18,pyme,casa-Y,1,2020-10-18 18:14:34
